[1], iter. T, 0.138377, dist. T, 0.071934, 
[2], iter. T, 0.450966, dist. T, 0.409019, 
[3], iter. T, 0.092434, dist. T, 0.061313, 
[4], iter. T, 0.108936, dist. T, 0.082965, 
[5], iter. T, 0.086261, dist. T, 0.060991, 
[6], iter. T, 0.097346, dist. T, 0.075703, 
[0], iter. T, 0.076141, dist. T, 0.066698, 
[1], iter. T, 0.156031, dist. T, 0.056215, 
[2], iter. T, 0.102274, dist. T, 0.056811, 
[3], iter. T, 0.247466, dist. T, 0.217112, 
[4], iter. T, 0.120082, dist. T, 0.096445, 
[5], iter. T, 0.123466, dist. T, 0.103888, 
[0], iter. T, 0.116636, dist. T, 0.106921, 
[1], iter. T, 0.213835, dist. T, 0.123754, 
[2], iter. T, 0.116490, dist. T, 0.066453, 
[3], iter. T, 0.149475, dist. T, 0.116533, 
[4], iter. T, 0.096101, dist. T, 0.069197, 
[5], iter. T, 0.107109, dist. T, 0.081449, 
[6], iter. T, 0.224174, dist. T, 0.204116, 
[0], iter. T, 0.075078, dist. T, 0.065491, 
[1], iter. T, 0.204199, dist. T, 0.100386, 
[2], iter. T, 0.112090, dist. T, 0.060550, 
[3], iter. T, 0.414645, dist. T, 0.380776, 
[4], iter. T, 0.091804, dist. T, 0.064180, 
[5], iter. T, 0.291896, dist. T, 0.270384, 
[6], iter. T, 0.093370, dist. T, 0.074069, 
[0], iter. T, 0.063807, dist. T, 0.054174, 
[1], iter. T, 0.187491, dist. T, 0.081300, 
[2], iter. T, 0.211225, dist. T, 0.158434, 
[3], iter. T, 0.100577, dist. T, 0.065237, 
[4], iter. T, 0.074843, dist. T, 0.048130, 
[5], iter. T, 0.093741, dist. T, 0.071827, 
[0], iter. T, 0.208417, dist. T, 0.198244, 
[1], iter. T, 0.242973, dist. T, 0.116069, 
[2], iter. T, 0.169059, dist. T, 0.094565, 
[3], iter. T, 0.459432, dist. T, 0.415222, 
[4], iter. T, 0.150014, dist. T, 0.120198, 
[5], iter. T, 0.145181, dist. T, 0.117570, 
[6], iter. T, 0.155372, dist. T, 0.133228, 
[0], iter. T, 0.070871, dist. T, 0.061002, 
[1], iter. T, 0.231814, dist. T, 0.103822, 
[2], iter. T, 0.234347, dist. T, 0.168257, 
[3], iter. T, 0.164807, dist. T, 0.125544, 
[4], iter. T, 0.141916, dist. T, 0.109372, 
[5], iter. T, 0.140360, dist. T, 0.114078, 
[6], iter. T, 0.608838, dist. T, 0.588544, 
[0], iter. T, 0.076162, dist. T, 0.066453, 
[1], iter. T, 0.237861, dist. T, 0.121645, 
[2], iter. T, 0.504742, dist. T, 0.449384, 
[3], iter. T, 0.083730, dist. T, 0.050090, 
[4], iter. T, 0.084359, dist. T, 0.058195, 
[5], iter. T, 0.067498, dist. T, 0.048414, 
[0], iter. T, 0.089775, dist. T, 0.079852, 
[1], iter. T, 0.165035, dist. T, 0.077089, 
[2], iter. T, 0.093435, dist. T, 0.049555, 
[3], iter. T, 0.081042, dist. T, 0.047784, 
[4], iter. T, 0.153513, dist. T, 0.129041, 
[5], iter. T, 0.114297, dist. T, 0.092964, 
[0], iter. T, 0.135446, dist. T, 0.125787, 
[1], iter. T, 0.352167, dist. T, 0.263845, 
[2], iter. T, 0.188835, dist. T, 0.119504, 
[3], iter. T, 0.085329, dist. T, 0.053747, 
[4], iter. T, 0.174050, dist. T, 0.145874, 
[5], iter. T, 0.089083, dist. T, 0.067242, 
[0], iter. T, 0.460694, dist. T, 0.442188, 
[1], iter. T, 0.268558, dist. T, 0.167074, 
[2], iter. T, 0.220486, dist. T, 0.151563, 
[3], iter. T, 0.168246, dist. T, 0.128398, 
[4], iter. T, 0.298141, dist. T, 0.267065, 
[5], iter. T, 0.436743, dist. T, 0.406785, 
[6], iter. T, 0.590859, dist. T, 0.549849, 
[0], iter. T, 0.173230, dist. T, 0.163929, 
[1], iter. T, 0.256558, dist. T, 0.159335, 
[2], iter. T, 0.117830, dist. T, 0.064312, 
