[5], it. T, 0.247943, dist. T, 0.054598
[6], it. T, 0.284475, dist. T, 0.083412
[0], it. T, 0.240836, dist. T, 0.101963
[1], it. T, 0.731045, dist. T, 0.322435
[2], it. T, 0.739451, dist. T, 0.530570
[3], it. T, 0.418779, dist. T, 0.251542
[4], it. T, 0.240988, dist. T, 0.048400
[5], it. T, 0.284922, dist. T, 0.116119
[6], it. T, 0.225222, dist. T, 0.047603
[0], it. T, 0.189985, dist. T, 0.066048
[1], it. T, 0.646593, dist. T, 0.306562
[2], it. T, 0.608787, dist. T, 0.357697
[3], it. T, 0.596587, dist. T, 0.413868
[4], it. T, 0.425222, dist. T, 0.267011
[5], it. T, 0.453548, dist. T, 0.263421
[6], it. T, 0.298934, dist. T, 0.115351
[0], it. T, 0.353266, dist. T, 0.203922
[1], it. T, 0.642645, dist. T, 0.314113
[2], it. T, 0.433621, dist. T, 0.214417
[3], it. T, 0.584381, dist. T, 0.383204
[4], it. T, 0.370548, dist. T, 0.162033
[5], it. T, 0.232784, dist. T, 0.049169
[6], it. T, 0.237131, dist. T, 0.052623
[0], it. T, 0.181327, dist. T, 0.057694
[1], it. T, 0.555476, dist. T, 0.327964
[2], it. T, 0.589987, dist. T, 0.419636
[3], it. T, 0.266847, dist. T, 0.048280
[4], it. T, 0.307512, dist. T, 0.136959
[5], it. T, 0.396818, dist. T, 0.240708
[6], it. T, 0.326120, dist. T, 0.147391
[0], it. T, 0.219216, dist. T, 0.058298
[1], it. T, 2.073624, dist. T, 1.727357
[2], it. T, 1.878511, dist. T, 1.630245
[3], it. T, 1.234156, dist. T, 1.024389
[4], it. T, 1.016173, dist. T, 0.847607
[5], it. T, 0.752221, dist. T, 0.542715
[6], it. T, 0.647400, dist. T, 0.495309
[0], it. T, 0.280718, dist. T, 0.125117
[1], it. T, 0.721709, dist. T, 0.430097
[2], it. T, 0.400361, dist. T, 0.057127
[3], it. T, 2.920772, dist. T, 2.676797
[4], it. T, 2.164658, dist. T, 1.982468
[5], it. T, 1.303262, dist. T, 1.107177
[6], it. T, 0.281270, dist. T, 0.077937
[0], it. T, 0.252439, dist. T, 0.087601
[1], it. T, 0.655381, dist. T, 0.399250
[2], it. T, 0.325347, dist. T, 0.105771
[3], it. T, 0.303009, dist. T, 0.087280
[4], it. T, 0.383396, dist. T, 0.176822
[5], it. T, 0.250542, dist. T, 0.065405
[6], it. T, 0.260890, dist. T, 0.069887
[0], it. T, 0.340795, dist. T, 0.196840
[1], it. T, 0.744546, dist. T, 0.362359
[2], it. T, 0.319306, dist. T, 0.078852
[3], it. T, 0.287432, dist. T, 0.078530
[4], it. T, 0.244523, dist. T, 0.058566
[5], it. T, 0.249228, dist. T, 0.079913
[0], it. T, 0.191955, dist. T, 0.053168
