[3], iter. T, 0.075615, dist. T, 0.044847, 
[4], iter. T, 0.072196, dist. T, 0.047588, 
[5], iter. T, 0.262664, dist. T, 0.241319, 
[6], iter. T, 0.066104, dist. T, 0.048723, 
[0], iter. T, 0.146127, dist. T, 0.137041, 
[1], iter. T, 0.204500, dist. T, 0.059452, 
[2], iter. T, 0.276328, dist. T, 0.214386, 
[3], iter. T, 0.372093, dist. T, 0.334018, 
[4], iter. T, 0.112354, dist. T, 0.083294, 
[5], iter. T, 0.170255, dist. T, 0.145085, 
[6], iter. T, 0.099659, dist. T, 0.078258, 
[7], iter. T, 0.110262, dist. T, 0.092283, 
[0], iter. T, 0.055521, dist. T, 0.046707, 
[1], iter. T, 0.273454, dist. T, 0.123802, 
[2], iter. T, 0.332924, dist. T, 0.272219, 
[3], iter. T, 0.186591, dist. T, 0.145358, 
[4], iter. T, 0.338988, dist. T, 0.309934, 
[5], iter. T, 0.137507, dist. T, 0.114768, 
[6], iter. T, 0.113662, dist. T, 0.093855, 
[7], iter. T, 0.071146, dist. T, 0.053969, 
[0], iter. T, 0.114002, dist. T, 0.105264, 
[1], iter. T, 0.250345, dist. T, 0.129851, 
[2], iter. T, 0.296232, dist. T, 0.243466, 
[3], iter. T, 0.221878, dist. T, 0.188786, 
[4], iter. T, 0.068290, dist. T, 0.042853, 
[5], iter. T, 0.135231, dist. T, 0.112573, 
[6], iter. T, 0.118615, dist. T, 0.098751, 
[0], iter. T, 0.055124, dist. T, 0.046578, 
[1], iter. T, 0.383089, dist. T, 0.184071, 
[2], iter. T, 0.117398, dist. T, 0.058761, 
[3], iter. T, 0.084341, dist. T, 0.049949, 
[4], iter. T, 0.071451, dist. T, 0.044255, 
[5], iter. T, 0.098218, dist. T, 0.075629, 
[6], iter. T, 0.348799, dist. T, 0.327863, 
[7], iter. T, 0.092081, dist. T, 0.073368, 
[8], iter. T, 0.059822, dist. T, 0.043588, 
[0], iter. T, 0.063220, dist. T, 0.054089, 
[1], iter. T, 0.200332, dist. T, 0.086004, 
[2], iter. T, 0.183694, dist. T, 0.134329, 
[3], iter. T, 0.107546, dist. T, 0.072262, 
[4], iter. T, 0.130398, dist. T, 0.103759, 
[5], iter. T, 0.118104, dist. T, 0.095396, 
[6], iter. T, 0.336700, dist. T, 0.317639, 
[0], iter. T, 0.054698, dist. T, 0.046152, 
[1], iter. T, 0.263197, dist. T, 0.163494, 
[2], iter. T, 0.163703, dist. T, 0.112532, 
[3], iter. T, 0.108159, dist. T, 0.072968, 
